numcode,risk_assessment
36002,"An ethnic Hungarian rebellion in Romania is unlikely based on four factors: there is a history of democratic government in Romania; the government is willing to negotiate and reform; transnational support exists for reform efforts; and although autonomy movements exist in neighboring countries, there is no armed conflict. However, the Szekler autonomy movement has grown in intensity since 2003, with groups from the Szekler region of Romania mobilizing for an autonomous 'Szeklerland. These actions contrast with the more moderate attitude of the leadership of the Hungarians main political group, the Democratic Union of Hungarians in Romania (UMDR), which the new autonomy groups claim has not done enough. The UMDR has pledged to pursue their limited autonomy demands through a gradual process, while the more radical movement is clamoring for a more rapid change in status. Tension between ethnic Hungarians and Romanian nationalists has increased with the amplified autonomy movement, but the government has been successful at diffusing tension by being willing to meet with representatives of the Szekler movement. Despite the political tension, both factions of the Hungarian rights movement are inclined toward cooperation and nonviolence between each other, the Romanian government and other groups in Romanian society. "
36531,"Although many feared that Lezgin demands for the creation of an independent ""Lezgistan"" would destabilize the fragile ethnic balance in Dagestan as well as relations between Russia and Azerbaijan, these fears have thus far proved to be unwarranted. By 2006 it appears less likely than ever that the Lezgins will resort to rebellion or sustained collective political action to address their grievances. They did not engage in any serious violence or protests between 1997 and 2006, and have shown a willingness to negotiate and compromise away their most intractable demands. Their nationalist movements do not receive wide support among the Lezgin people who are not well-organized on the grass-roots level, and who certainly do not want Dagestan to suffer the same fate as Chechnya. One potentially destabilizing factor is the struggling economy of the Lezgin regions. The Lezgin are among the most disadvantaged of the Dagestani groups, and there appears to be little effort to rectify the situation on the part of local officials. Sources report that unemployment among young Dagestani Lezgins is as much as 80%, due largely to the collapse of both the defense industry that was concentrated in their region and traditional Lezgin sheep herding. One suspects that these figures may be exaggerated, or that many Lezgins are supporting themselves in the ""unofficial economy"" that still thrives across the former Soviet Union. But if those unemployment numbers are close to reality, such large numbers of unemployed people in comparison to other groups may prove to be a tremendously destabilizing factor in the long run. The wars in Chechnya have had opposing effects on the Lezgins. On the one hand, the wars exacerbated the main Lezgin grievance, as the Samur River became a virtual wall dividing their people between Russia and Azerbaijan. However, the ferocity of the fighting seems to have discouraged militant Lezgins by convincing them (and many other Caucasian groups) that Moscow is determined to maintain a firm hold on its territories. Lezgin leaders seem to have concluded that the best route to change is a peaceful one. Of course the Lezgin grievances could be largely satisfied if the Russian government relaxes the tight border controls on the Samur.  The Lezgins in Dagestan seem to understand the fragility of the ethnic balance in their republic. In the last few years even the most ardent Lezgin nationalists have softened their demands. This recognition that their interest lies in peaceful social change bodes well for the prospects for stability in the region."
23001,"There is reason to believe that the militant activity of the ETA may decrease in the near future. ETA declared a 'permanent ceasefire and entered into talks with Spains Socialist-led government in March 2006, and expressed desire to emulate the IRAs path to legitimacy.  From May 2003 to December 2006, ETA employed only a low-level bombing campaign that included advanced warning for attacks and caused no fatalities.  However, an ETA bombing of a Madrid airport in December 2006 killed two men and effectively ended talks with the Spanish government.  The Basques have many of the risk factors which contribute to rebellious activity, including government repression, territorial concentration, and high levels of group organization and cohesion. While the Spanish government has granted the Basques extensive regional autonomy, many Basques want more autonomy from the Spanish central government and resent the presence of Spanish civil guards, Spanish businesses, and other intrusions into Basque life. Recently there has been significant cooperation between Spanish and French anti-terrorist authorities, and it has led to substantial success in finding and arresting many Basque militants, including key ETA leaders. Spanish authorities claim that the arrests have crippled the ETA and limited their ability to cause violence.  However, the presence of many risk factors and the December 2006 attack indicate that the ETA remains a threat to stability in the region. Due to many Basques strong commitment to independence,, there is no reason to think that non-militant political action will wind down. Public protest is a long-enshrined part of the Basques repertoire in dealing with the Spanish government. It is difficult to identify concessions the Spanish government might offer that would check the protests- short of independence, an idea that the Spanish Parliament overwhelmingly rejected in 2005.  The ETA has begun to direct some of its actions at other groups in Spain, notably the Catalans, who have responded with anti-Basques protests. There is also a backlash among Basques themselves against some of ETAs actions but this seems more likely to affect ETAs tactics than to end support for its long-term objective of independence. The other hope for ending Basque protests and militant activity is the Basque regional governments affiliation with the European Union, which gives it the opportunity to function autonomously in the international arena. However, this does not seem sufficient to satisfy the militants demand for full sovereignty."
23002,"There is no evidence to suggest that Catalans are likely to use militant strategies in their dealings with the Spanish government. All their interactions with the central government contain elements of power sharing or deal brokering. Their representatives cooperate with other parties in the Spanish parliament in seeking concessions for the Catalan region, and in 2005 the two main Catalan parties joined the coalition government of Spanish Prime Minister Luis Rodriguez Zapatero. Zaperto reciprocated by supporting a new Statute of Autonomy for Catalonia, which in 2006 gave the region greater autonomy in taxation and legal affairs. Catalans view their dealings with the Spanish in light of an ancient oath between their monarch and the Castilians. This is the principle of ""If not, not"": ""We who are as good as you, swear to you, who are no better than us, to accept you as our king and sovereign lord, provided you observe all our liberties and laws - but if not, not."" So long as they continue to have economic prosperity, regional autonomy, and effective parliamentary representation, there are no incentives for a resumption of terrorism. There is always the possibility of future protests however. The Catalans possess few of the risk factors for protest, such as political and cultural restrictions, violent repression, support from separatist kindred groups, etc. However, due to their strong identity and fierce autonomy, the Catalans will watch what concessions the Spanish government grants the Basques, and protest any concessions that they do not receive. There remains a sizable minority of Catalans'about 16 percent in 2005that support full independence from Spain.  Occasionally, these separatists will stage large protests in Barcelona.  In general however, the Catalans are satisfied with their increased autonomy, and the risk of violenceeven from separatistsis minimal."
22501,"There is little likelihood that Jurassians will support future rebellious activity. There have been no reports of protests for some time, and the issues of concern to Jurassian political organizations do not appear to be of much salience for the majority of the group. Both the German and French-speaking populations of the Jura appear to be content to work within the political system to pursue their goals. There also is little current concern in the rest of Switzerland about the Jura region. It should be noted however that while violence by militants in the past was limited and episodic, it may recur at any time. Also, information on the activities of the separatists is difficult to come by in the English-language press and it is possible that some relevant political activities are not being reported."
80002,"The Muslims in Thailand have four of the factors that increase the likelihood of maintaining the current rebellion: an active insurgency movement; territorial concentration; government repression of group members; and a history of lost autonomy. Factors that encourage the current rebellion include a history of neglect and marginalization against the Malay-Muslim community, possible foreign aid and/or recruitment to the rebellion movement, and the inability of the Thai government to shed its anti-Muslim reputation. A bloodless coup in September 2006, staged by the Thai Royal Army, disposed of a controversial and divisive Prime Minister. However, it remains to be seen if the new administration will be effective in tackling the issue of domestic reconciliation in the South. If any progress is to occur, the new regime must end corruption within its security forces and engage in active consensus-building with the Muslim community. Political restrictions, a new and potentially unstable regime, recent repression against the group, and budding kindred support continue to place the Malay-Muslim community at a risk for protest."
50003,"While the Baganda have a long history of seeking greater autonomy, there is little evidence of this escalating into rebellion despite recent protests. The most important factor inhibiting rebellion is that the government has made some attempts at negotiation and reform, through constitutional channels. Should these attempts not materialize into concrete steps, the situation may change.  While the Baganda do not face risk factors for protest such as political or economic discrimination, they do remain at risk for future protest especially in light of increasing demands for a federal system, which is often called Federo. Tensions have also risen due to recent calls for Kamapala to be recognized as part of the Buganda kingdom.  Currently, the situation of the Baganda in Uganda is stable: they are not targeted for abuse by the government or rebel groups. They are unlikely to force the issue of autonomy violently, but it will remain one of their key concerns around which to organize protests."
20004,"There is virtually no risk of Scottish militancy in the near future. Protest is not likely to rise beyond verbal opposition, although larger scale protest is possible, due to high levels of group cohesion. Outside of high levels of group cohesion, none of the risk factors usually associated with protest is present, but the nature of British democracy is such that the Scots can use protest as part of their repertoire without fear of repression or other sanctions. Without the power to set their own tax rates, they cannot rid themselves of taxes imposed by the central government, nor can they use tax incentives to improve local living standards or to promote regional development. In other words, while the central government has granted limited autonomy, many of the English-Scottish chafing points remain. Scotland has recently turned to the European Union as an alternative route for pursuing Scottish interests, and this could lead to increased tensions between Scotland and the UK government. The Scots, like other large minorities such as the Basques in Spain, have used the EU to circumvent their state government. By dealing directly with the EU, the Scots and the British government are treated basically as equals or at least separate regions within the union, allowing the Scots to preserve their culture and economic interests without British interference. While disagreements remain, it should be noted that the devolution of powers to Scotland has occurred relatively smoothly, and there appears to be a commitment from both sides to continue the process in a timely and effective manner."
70402,"Risk of Tajik rebellion is moderate to low. While the group is territorially concentrated and faces a degree of discrimination from the regime, Tajiks have lacked significant political organization since 1994, relying instead on cultural associations. There have been no incidents of recent political violence carried out by the group, and protest has been very low. However, this lack of political activity is likely more to do with the strict authoritarian policies of the Uzbek government than a lack of grievances. Perhaps the sole achievement of which the ethnic Tajiks can boast is the official recognition of their status as a separate nationality group, but this was arguably more of a legacy of Soviet nationality policies than successful political lobbying. The regime in neighboring Tajikistan has shown no willingness to support irredentist policies of Tajiks in Uzbekistan, which further undermines Tajiks' ability to oppose the state violently. One area of increasing concern for the regime is not Tajik nationalism, but rather an overarching Islamic identity, which some believe could pose a significant challenge now or in the future.  While the risk is small in the near future, unless Tajik cultural and political grievances are successfully addressed, they remain a potential target for mobilization against the Karimov regime."
34507,"There is little risk of Croats in Serbia rebelling against the government of Serbia. While the Croats are primarily concentrated in Vojvodina around Subotica and are fairly well organized, they are a very small minority in Serbia. They occasionally voice verbal protest against the central government, but there is little risk of these escalating in the future. The government exercises no official repression of Croats in Serbia and has established a council on national minorities to ensure that they are adequately protected. While the government of Croatia occasionally voices rhetorical support for Croats in Serbia and has signed an agreement for the protection of national minorities with Serbia, it takes great pains not to interfere in the domestic affairs of its neighbors. So, while Croats would certainly find safe haven in Croatia if there were a need, the message is clear that any Croat-initiated violence in Serbia, or anywhere else in the region for that matter, would be condemned. Croats experience mild informal discrimination in Serbia, but this is mostly economic and they claim in some cases cultural, but there is no official effort by the government to restrict their political participation or enjoyment of cultural heritage."
34505,"While the post-Milosevic political system in Yugoslavia and then Serbia and Montenegro and then just Serbia has improved conditions for nearly all minorities in the country, Sandzak Bosniaks remain disadvantaged in many ways, and the Sandzak region has seen both intercommunal and intracommunal violence. Sandzak Bosniaks are territorially concentrated in the Sandzak, a region in south eastern Serbia and Montenegro. Nevertheless many of the previous overt discriminations against them have been removed, and they hold numerous national and regional political posts. But despite all of these changes, the Sandzak Muslims are dissatisfied with their standing in the country. While some extremists have called for an independent Sandzak, especially in light of the Montenegrin referendum for independence which split the Sandzak into two countries, the primary split among Sandzak Bosniaks is between those who see engaging in Serbia as the key to improvement of their standing and those who think that engagement with Serbs is fruitless and who want official autonomy.  Although sporadic violence plagues the Sandzak, it is very unlikely that the Bosniaks will engage in rebellion. As of 2000 with the ousting of Slobodan Milosevic, the regime in the country liberalized substantially, and although reforms remain in progress, the democratic process improved substantially. Additionally, the federal government created the post of Federal Minister for Minority Affairs in 2001, which was filled by Rasim Ljajic, a Sandzak Muslim leader. Finally, the region itself has been relatively conflict free since the end of the conflict in Kosovo in 1999.  Sandzak Bosniaks face few official political or cultural restrictions but do face informal discrimination and restrictions. While Sandzak Bosniaks have kin across the border in Bosnia and Herzegovina, there does not appear to be much more than moral support coming into the Sandzak for the Bosniaks there. "
